From	To
ENSG00000101003	9837
ENSG00000101004	22981
ENSG00000101000	10544
ENSG00000183735	29110
ENSG00000176182	339344
ENSG00000154001	5529
ENSG00000183734	430
ENSG00000197506	64078
ENSG00000183733	344018
ENSG00000072163	55679
ENSG00000197503	144360
ENSG00000184465	253769
ENSG00000176155	284001
ENSG00000159761	388284
ENSG00000176153	2877
ENSG00000159763	5304
ENSG00000198113	54863
ENSG00000140332	7090
ENSG00000154007	127247
ENSG00000077498	7299
ENSG00000224870	148413
ENSG00000224877	284184
ENSG00000183729	2831
ENSG00000126861	101927057
ENSG00000183726	23585
ENSG00000126860	2123
ENSG00000185985	84631
ENSG00000184454	400746
ENSG00000183723	146223
ENSG00000185982	245939
ENSG00000183722	10186
ENSG00000185989	22821
ENSG00000176165	2290
ENSG00000184459	254240
ENSG00000198121	1902
ENSG00000057608	2665
ENSG00000184451	2826
ENSG00000198125	4151
ENSG00000215009	341392
ENSG00000126858	55288
ENSG00000126856	11105
ENSG00000183718	84851
ENSG00000176160	124535
ENSG00000183715	4978
ENSG00000119698	57718
ENSG00000198521	7594
ENSG00000198520	339541
ENSG00000067177	5255
ENSG00000151445	63894
ENSG00000000419	8813
ENSG00000183684	10189
ENSG00000183688	359845
ENSG00000198523	5350
ENSG00000198522	11321
ENSG00000124313	23096
ENSG00000170899	2941
ENSG00000159496	266747
ENSG00000159495	116179
ENSG00000102078	9016
ENSG00000007202	9703
ENSG00000119699	7043
ENSG00000141905	4782
ENSG00000034152	5606
ENSG00000224586	2880
ENSG00000119685	23093
ENSG00000119684	27030
ENSG00000102081	2332
ENSG00000119681	4053
ENSG00000183691	9241
ENSG00000183690	80258
ENSG00000196296	487
ENSG00000119682	9870
ENSG00000157224	9069
ENSG00000183695	117194
ENSG00000198515	1259
ENSG00000156787	93594
ENSG00000198517	7975
ENSG00000183696	7378
ENSG00000157227	4323
ENSG00000126583	5582
ENSG00000170892	79042
ENSG00000170893	7200
ENSG00000152503	55521
ENSG00000170890	5319
ENSG00000126581	8678
ENSG00000151458	57182
ENSG00000198513	51062
ENSG00000170891	54360
ENSG00000011422	5329
ENSG00000011426	54443
ENSG00000196290	60491
ENSG00000067182	7132
ENSG00000119688	5826
ENSG00000119689	1743
ENSG00000157219	3361
ENSG00000102096	11040
ENSG00000102098	10389
ENSG00000141933	91978
ENSG00000196284	8464
ENSG00000141934	8612
ENSG00000159479	112950
ENSG00000157211	200008
ENSG00000157212	22976
ENSG00000198502	3127
ENSG00000126550	3346
ENSG00000004799	5166
ENSG00000185800	1762
ENSG00000157216	23648
ENSG00000151422	2241
ENSG00000057663	9474
ENSG00000157214	261729
ENSG00000058799	54432
ENSG00000151418	127124
ENSG00000067191	782
ENSG00000231068	100288323
ENSG00000057657	639
